duid,district,lon,lat,height_m,storeys,current_name,proposed_name,grade,name_source,agreeing_sources,confidence,match_distance_m,inside_footprint,method,developer,project,changed
DXB-SAMAAL-e0225aeaa7,samaaljadaf,55.336115,25.222932,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-95161f3058,samaaljadaf,55.336333,25.222746,12.0,4,,,UNKNOWN,,,0.0,,,,,,False
DXB-SAMAAL-756d2c374a,samaaljadaf,55.332674,25.219995,64.6,17,Element Al Jaddaf,Element Al Jaddaf,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-88754d53f0,samaaljadaf,55.330646,25.219392,44.2,13,Injazzat - Al Jadaf,Injazzat - Al Jadaf,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-7c45dd477e,samaaljadaf,55.33015,25.219272,51.0,15,Bin Suloom Building,Bin Suloom Building,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-753cad4b19,samaaljadaf,55.326446,25.220176,54.4,16,,"AL MESBAR, Jaddaf",MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (apartment_building),,,True
DXB-SAMAAL-46d22d058f,samaaljadaf,55.329789,25.222491,40.8,12,,T4 tea cafeteria,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (coffee_shop),,,True
DXB-SAMAAL-75e46a0aac,samaaljadaf,55.33123,25.222576,51.0,15,SHK Building,SHK Building,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-cde7770437,samaaljadaf,55.331261,25.22219,57.8,17,Ayedh Tower,Ayedh Tower,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-1d70efa15f,samaaljadaf,55.328723,25.214712,54.4,16,Jaddaf Star,Jaddaf Star,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-1f5a0a9932,samaaljadaf,55.33008,25.214529,44.2,13,Devet 2,Devet 2,MATCHED,osm,osm,0.9,0.0,True,carried on the footprint by build_anchors,,,False
DXB-SAMAAL-0ce9fab796,samaaljadaf,55.329978,25.214013,40.8,12,,Car Recovery Services,MATCHED,places,places,0.7,0.0,True,place search on the footprint centroid (service),,,True
